varname	groupname
Rumex subg. Acetosa/R. subg. Acetosella	Herbs
Rumex subg. Rumex	Herbs
Rumex undiff.	Herbs
Rumex/Oxyria	Herbs
Ruppia	Aquatics
Sagina	Herbs
Sagina-type	Herbs
Sagittaria	Helophytes
Salix	Trees and shrubs
Salix herbacea	Dwarf shrubs
Salvia	Herbs
Sambucus	Trees and shrubs
Sambucus ebulus	Herbs
Sambucus nigra	Trees and shrubs
Sambucus racemosa	Trees and shrubs
Sambucus undiff.	Trees and shrubs
Sambucus-type	Trees and shrubs
Sanguisorba	Herbs
Sanguisorba minor	Herbs
Sanguisorba minor subsp. minor	Herbs
Sanguisorba officinalis	Herbs
Sarcobatus	Trees and shrubs
Satureja	Herbs
Saussurea alpina	Herbs
Saussurea-type	Herbs
Saxifraga	Herbs
Saxifraga aizoides	Herbs
Saxifraga cernua-type	Herbs
Saxifraga cespitosa-type	Herbs
Saxifraga cf. S. oppositifolia	Herbs
Saxifraga cf. S. stellaris	Herbs
Saxifraga granulata-type	Herbs
Saxifraga hirculus	Herbs
Saxifraga hirculus-type	Herbs
Saxifraga hypnoides	Herbs
Saxifraga hypnoides-type	Herbs
Saxifraga nivalis	Herbs
Saxifraga nivalis-type	Herbs
Saxifraga oppositifolia	Herbs
Saxifraga oppositifolia-type	Herbs
Saxifraga oppositifolia/S. aizoides	Herbs
Saxifraga stellaris	Herbs
Saxifraga stellaris-type	Herbs
Saxifraga undiff.	Herbs
Saxifragaceae	Herbs
Scabiosa	Herbs
Scabiosa columbaria	Herbs
Scabiosa columbaria-type	Herbs
Scabiosa rotata-type	Herbs
Scheuchzeria	Helophytes
Schoenus-type	Helophytes
Sciadopitys	Trees and shrubs
Scilla-type	Herbs
Scirpus lacustris	Helophytes
Scirpus maritimus	Helophytes
Scirpus sect. Pterolepis-type	Helophytes
Scleranthus	Herbs
Scorzonera-type	Herbs
Scrophularia-type	Herbs
Scrophulariaceae	Herbs
Secale	Herbs
Secale cereale	Herbs
Sedum	Herbs
Sedum cf. S. villosum/S. anglicum	Herbs
Sedum/Rhodiola cf. R. rosea	Herbs
Sempervivum	Herbs
Senecio-type	Herbs
Serratula-type	Herbs
Sibbaldia procumbens	Herbs
Silene cf. S. acaulis	Herbs
Silene dioica-type	Herbs
Silene vulgaris-type	Herbs
Silene-type	Herbs
Sinapis-type	Herbs
Sisyrinchium	Herbs
Sisyrinchium-type	Herbs
Sium-type	Herbs
Smilacina stellata	Herbs
Solanaceae	Herbs
Solanum cf. S. nigrum	Herbs
Solanum dulcamara	Herbs
Solanum dulcamara-type	Herbs
Solanum nigrum	Herbs
Solidago-type	Herbs
Sorbus	Trees and shrubs
Sorbus aucuparia	Trees and shrubs
Sorbus-type	Trees and shrubs
Sparganium	Helophytes
Sparganium erectum-type	Helophytes
Sparganium-type	Helophytes
Spergula	Herbs
Spergula arvensis	Herbs
Spergula-type	Herbs
Spergularia-type	Herbs
Stachys-type	Herbs
Stellaria	Herbs
Stellaria holostea	Herbs
Stellaria undiff.	Herbs
Stratiotes	Aquatics
Succisa	Herbs
Succisa pratensis	Herbs
Symphytum	Herbs
Symphytum-type	Herbs
Tamarix	Trees and shrubs
Tamus communis	Herbs
Taraxacum-type	Herbs
Taxodiaceae	Trees and shrubs
Taxus	Trees and shrubs
Taxus baccata	Trees and shrubs
Teucrium	Herbs
Teucrium scordonia	Herbs
Teucrium-type	Herbs
Thalictrum	Herbs
Thalictrum-type	Herbs
Thesium	Herbs
Thymelaeaceae	Trees and shrubs
Thymus-type	Herbs
Tilia	Trees and shrubs
Tilia cordata	Trees and shrubs
Tofieldia	Herbs
Torilis	Herbs
Trapa	Aquatics
Trientalis	Herbs
Trifolium	Herbs
Trifolium medium-type	Herbs
Trifolium montanum	Herbs
Olea europaea	Trees and shrubs
Trifolium montanum-type	Herbs
Trifolium spadiceum	Herbs
Trifolium undiff.	Herbs
Trifolium-type	Herbs
Triglochin	Helophytes
Triticum	Herbs
Triticum undiff.	Herbs
Triticum-type	Herbs
Trollius	Herbs
Trollius europaeus	Herbs
Tsuga	Trees and shrubs
Tsuga mertensiana	Trees and shrubs
Tsuga undiff.	Trees and shrubs
Tulipa sylvestris	Herbs
Typha angustifolia	Helophytes
Typha angustifolia-type	Helophytes
Typha angustifolia/Sparganium	Helophytes
Typha latifolia	Helophytes
Typha latifolia-type	Helophytes
Typha undiff.	Helophytes
Typha undiff. (tetrad)	Helophytes
Typha-type	Helophytes
Ulex-type	Trees and shrubs
Ulmus	Trees and shrubs
Umbelliferae	Herbs
Umbelliferae (type 1)	Herbs
Umbelliferae (type 2)	Herbs
Umbelliferae (type 3)	Herbs
Umbelliferae undiff.	Herbs
Umbilicus	Herbs
Umbilicus-type	Herbs
Urtica	Herbs
Urtica dioica	Herbs
Urtica dioica-type	Herbs
Urtica urens	Herbs
Urtica-type	Herbs
Urticaceae	Herbs
Utricularia	Aquatics
Vaccinium	Dwarf shrubs
Vaccinium myrtillus-type	Dwarf shrubs
Vaccinium-type	Dwarf shrubs
Valeriana	Herbs
Valeriana officinalis	Herbs
Valerianaceae	Herbs
Valerianella	Herbs
Verbascum	Herbs
Verbena	Herbs
Veronica	Herbs
Veronica-type	Herbs
Viburnum	Trees and shrubs
Viburnum opulus	Trees and shrubs
Vicia	Herbs
Vicia cf. V. cracca	Herbs
Vicia cracca-type	Herbs
Vicia faba	Herbs
Vicia sylvatica-type	Herbs
Vicia-type	Herbs
Vicia/Lathyrus	Herbs
Viola	Herbs
Viola arvensis	Herbs
Viola arvensis-type	Herbs
Viola palustris-type	Herbs
Viola riviniana-type	Herbs
Viola tricolor	Herbs
Violaceae	Herbs
Viscum	Trees and shrubs
Vitex agnus-castus	Trees and shrubs
Vitis	Trees and shrubs
Vitis vinifera	Trees and shrubs
Xanthium	Herbs
Zea mays	Herbs
Zelkova	Trees and shrubs
Anogramma leptophylla	Vascular cryptogams (Pteridophytes)
Asplenium-type	Vascular cryptogams (Pteridophytes)
Athyrium filix-femina	Vascular cryptogams (Pteridophytes)
Botrychium	Vascular cryptogams (Pteridophytes)
Botrychium boreale-type	Vascular cryptogams (Pteridophytes)
Botrychium lunaria	Vascular cryptogams (Pteridophytes)
Botrychium lunaria-type	Vascular cryptogams (Pteridophytes)
Botrychium multifidum	Vascular cryptogams (Pteridophytes)
Botrychium virginianum	Vascular cryptogams (Pteridophytes)
Blechnum spicant	Vascular cryptogams (Pteridophytes)
cf. Cystopteris	Vascular cryptogams (Pteridophytes)
Cheilanthes	Vascular cryptogams (Pteridophytes)
Cystopteris fragilis	Vascular cryptogams (Pteridophytes)
